Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-11-28,18.7533,19.0433,18.1733,18.56,1908.620689617
2022-11-29,19.14,19.14,18.6567,19.0433,11.3793103446
2022-11-30,19.0433,20.3,19.0433,20.3,1239.3103448028
2022-12-01,20.4933,21.2667,20.4933,20.88,693.103448262
2022-12-02,20.4933,20.88,19.72,19.72,477.9310344732
2022-12-05,20.3,20.3,19.3333,19.3333,444.827586198
2022-12-06,18.56,19.14,17.7867,19.14,1874.4827585832
2022-12-07,19.14,20.88,18.6567,19.14,1139.9999999772
2022-12-08,19.72,21.8467,19.72,21.8467,1488.6206896254
2022-12-09,21.8467,21.8467,21.6533,21.6533,654.8275861938
2022-12-12,21.6533,21.6533,21.6533,21.6533,713.793103434
2022-12-14,20.6867,20.6867,20.6867,20.6867,372.413793096
2022-12-15,20.3,20.3,20.3,20.3,2.0689655172
2022-12-16,20.6867,21.2667,20.6867,21.2667,1034.4827586
2022-12-21,21.2667,21.2667,20.1067,21.2667,2016.2068965114
2022-12-22,20.3,21.2667,20.3,21.2667,522.413793093
2022-12-27,20.3,21.0733,20.3,21.0733,518.2758620586
2022-12-28,20.3,20.3,20.3,20.3,386.8965517164
2022-12-29,19.5267,21.2667,19.5267,21.2667,838.9655172246
2022-12-30,20.3,21.2667,20.3,21.2667,621.7241379186
